;signatur;geschaftstyp;partei;urheber;titel;beginn_datum;ende;schwerpunkt;geschaft;status;jahr;themes;pdf_file_url;content
544;23.5261;Interpellation;BastA!;Zürcher, Tonja;Interpellation Nr. 70 Tonja Zürcher betreffend Desinformation durch Regierungsrätin Stephanie Eymann und Polizeisprecher im Zusammenhang mit dem 1. Mai 2023;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112489;A;2023;Politische Beteiligung|Polizei & Kriminalität;https://grosserrat.bs.ch/dokumente/100404/000000404715.pdf;tbd
545;23.5258;Interpellation;LDP;von Falkenstein, Annina;Interpellation Nr. 68 Annina von Falkenstein betreffend Beschäftigungs- und Bildungsprogramme für unbegleitete minderjährige Asylsuchende;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112487;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404713.pdf;tbd
546;23.5255;Interpellation;;Krummenacher, Toya;Interpellation Nr. 65 Toya Krummenacher betreffend Folgen des Polizeieinsatzes am 1. Mai 2023;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112484;A;2023;Politische Beteiligung|Polizei & Kriminalität;https://grosserrat.bs.ch/dokumente/100404/000000404710.pdf;tbd
547;23.5254;Interpellation;LDP;Iselin, Adrian;Interpellation Nr. 64 Adrian Iselin betreffend wertebasierte Versorgung (value-based care) im Gesundheitswesen;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112483;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404709.pdf;tbd
548;23.5252;Interpellation;EVP;Widmer-Huber, Thomas;Interpellation Nr. 63 Thomas Widmer-Huber zur Verbesserung der polizeilichen Kommunikation bei Demonstrationen;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112481;A;2023;Polizei & Kriminalität|Politische Beteiligung;https://grosserrat.bs.ch/dokumente/100404/000000404707.pdf;tbd
549;23.5248;Interpellation;SVP;Stumpf, Daniela;Interpellation Nr. 59 Daniela Stumpf betreffend Liste der Lehrpersonen ohne Unterrichtsberechtigung - wo ist Basel-Stadt?;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112475;A;2023;Kinder, Jugendliche & Familien|Volksschulen & Tagesbetreuung;https://grosserrat.bs.ch/dokumente/100404/000000404701.pdf;tbd
550;23.5247;Schriftliche Anfrage;GLP;Sieber, Johannes;Schriftliche Anfrage Johannes Sieber betreffend Einführen eines bedingungslosen Grundeinkommens (BGE) aus Einnahmen der OECD-Mindeststeuer;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112472;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404679.pdf;tbd
551;23.5246;Schriftliche Anfrage;SP;Trevisan, Amina;Schriftliche Anfrage Amina Trevisan betreffend Information, Wissensvermittlung und Sensibilisierung für pensionierte Nichtbeziehenden von Ergänzungsleistungen;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112471;A;2023;Sozialversicherungen und -leistungen|Ältere Bevölkerung;https://grosserrat.bs.ch/dokumente/100404/000000404678.pdf;tbd
552;23.524;Schriftliche Anfrage;GLP;Sieber, Johannes;Schriftliche Anfrage Johannes Sieber betreffend Entwicklung der kantonalen Filmförderung aufgrund Strukturwandel der Filmbranche;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112464;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404582.pdf;tbd
553;23.5239;Schriftliche Anfrage;GLP;Sieber, Johannes;Schriftliche Anfrage Johannes Sieber betreffend Schaffung eines Musikschulgesetzes;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112463;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404581.pdf;tbd
554;23.5231;Motion;BastA!;Zürcher, Tonja;Motion Tonja Zürcher und Konsorten betreffend keine Preiserhöhungen beim TNW;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112462;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404580.pdf;tbd
555;23.5235;Anzug;SP;Bessenich, Salome;Anzug Salome Bessenich und Konsorten betreffend eine Rutschbahn fürs Kleinbasel;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112458;B;2023;Boden & Wasser|Gestaltung & Infrastruktur;https://grosserrat.bs.ch/dokumente/100404/000000404576.pdf;tbd
556;23.5229;Motion;SP;Roth, Franziska;Motion Franziska Roth und Konsorten betreffend genügend Unterrichtszeit für alle;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112453;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404571.pdf;tbd
557;23.5217;Motion;SP;Perret, Jean-Luc;Motion Jean-Luc Perret und Konsorten für den unterirdischen Schutz von Grünanlagenzonen;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112443;B;2023;Stadtgrün|Boden & Wasser;https://grosserrat.bs.ch/dokumente/100404/000000404485.pdf;tbd
558;23.5212;Anzug;BastA!;Goepfert, Nicola;Anzug Nicola Goepfert und Konsorten betreffend Aussetzung von Rückführungen nach Kroatien;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112438;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404480.pdf;tbd
559;23.5211;Motion;FDP;Seiler, Daniel;Motion Daniel Seiler und Konsorten betreffend Massnahmen zur Beschleunigung von kantonalen Bauprojekten;2023-05-10;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112436;B;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404478.pdf;tbd
560;23.5209;Schriftliche Anfrage;GLP;Bothe-Wenk, Sandra;Schriftliche Anfrage Sandra Bothe betreffend langfristigen und koordinierten Massnahmen bezüglich des Lehrpersonenmangels;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112435;A;2023;Arbeitsmarkt|Volksschulen & Tagesbetreuung;https://grosserrat.bs.ch/dokumente/100404/000000404477.pdf;tbd
561;23.5208;Schriftliche Anfrage;FDP;Jenny, David;Schriftliche Anfrage David Jenny betreffend möglichst rasche Umsetzung der neuen bundesrechtlichen Möglichkeit, Zivilprozesse auf Englisch zu führen;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112434;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404476.pdf;tbd
562;23.5207;Interpellation;SVP;Amiet, Lorenz;"Interpellation Nr. 58 Lorenz Amiet betreffend  ""Failed State"" in der Dreirosenanlage?";2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112432;A;2023;Polizei & Kriminalität|Migration & Integration;https://grosserrat.bs.ch/dokumente/100404/000000404468.pdf;tbd
563;23.5205;Interpellation;BastA!;Bolliger, Oliver;Interpellation Nr. 56 Oliver Bolliger betreffend einer Beteiligung des Kantons Basel-Stadt an der Überführung der Sandoz in eine gemeinnützige Trägerschaft;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112430;A;2023;Privatwirtschaft & Standort|Gesundheitsversorgung;https://grosserrat.bs.ch/dokumente/100404/000000404466.pdf;tbd
564;23.52;Interpellation;jgb;Feurer, Anouk;Interpellation Nr. 51 Anouk Feurer betreffend Ballettschule Theater Basel;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112425;A;2023;Sport|Kinder, Jugendliche & Familien;https://grosserrat.bs.ch/dokumente/100404/000000404461.pdf;tbd
565;23.5197;Schriftliche Anfrage;GLP;Sieber, Johannes;Schriftliche Anfrage Johannes Sieber betreffend geschlechtsspezifische Prävention gegen physische Gewalt;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112423;A;2023;Polizei & Kriminalität|Gleichstellung der Geschlechter;https://grosserrat.bs.ch/dokumente/100404/000000404459.pdf;tbd
566;23.5199;Interpellation;SP;Seggiani, Michela;Interpellation Nr. 50 Michela Seggiani betreffend CS und die Auswirkungen auf die BKB;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112422;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404458.pdf;tbd
567;23.5193;Interpellation;LDP;Isler-Christ, Lydia;Interpellation Nr. 46 Lydia Isler-Christ betreffend dringender Revision des Baubewilligungsverfahrens;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112413;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404418.pdf;tbd
568;23.518;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend beschlagnahmte Flugzeuge in Basel und Tankstopps von Kriegsflugzeugen;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112409;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404410.pdf;tbd
569;23.5173;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend doppelte Strassen Namen sorgen für Verwirrung;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112402;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404403.pdf;tbd
570;23.5172;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Pop-Konzerten in Basel;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112401;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404402.pdf;tbd
571;23.5191;Schriftliche Anfrage;SP;Balmer, Ivo;Schriftliche Anfrage Ivo Balmer betreffend Entwicklung des Wohnungsbestands und der Miete nach Eigentumsart;2023-04-19;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200112399;A;2023;;https://grosserrat.bs.ch/dokumente/100404/000000404400.pdf;tbd
